Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0,1,0.4985010706638116,0.0008565310492505418,0.07635698318481446,0.006158802308415445,0.009374904632568359,0.007654577757736283,1,{'n_estimators': 1},0.4989293361884368,0.49678800856531047,0.4989293361884368,0.4989293361884368,0.4989293361884368
1,1,0.4985010706638116,0.0008565310492505418,0.14511537551879883,0.01682346165221148,0.029598474502563477,0.003302574488182393,2,{'n_estimators': 2},0.4989293361884368,0.49678800856531047,0.4989293361884368,0.4989293361884368,0.4989293361884368
2,1,0.4985010706638116,0.0008565310492505418,0.23758530616760254,0.011972294107313552,0.03736414909362793,0.003931102228820077,3,{'n_estimators': 3},0.4989293361884368,0.49678800856531047,0.4989293361884368,0.4989293361884368,0.4989293361884368
4,1,0.4985010706638116,0.0008565310492505418,0.40044727325439455,0.008203305300683089,0.06250739097595215,8.331697492877352e-06,5,{'n_estimators': 5},0.4989293361884368,0.49678800856531047,0.4989293361884368,0.4989293361884368,0.4989293361884368
5,1,0.4985010706638116,0.0008565310492505418,0.4928187370300293,0.019790575898237236,0.09196090698242188,0.007377109187836183,6,{'n_estimators': 6},0.4989293361884368,0.49678800856531047,0.4989293361884368,0.4989293361884368,0.4989293361884368
6,1,0.4985010706638116,0.0008565310492505418,0.5476940631866455,0.017216796949104326,0.09375214576721191,4.686608266947027e-06,7,{'n_estimators': 7},0.4989293361884368,0.49678800856531047,0.4989293361884368,0.4989293361884368,0.4989293361884368
8,1,0.4985010706638116,0.0008565310492505418,0.7175060272216797,0.028547199891432805,0.1312577724456787,0.012505653692458443,9,{'n_estimators': 9},0.4989293361884368,0.49678800856531047,0.4989293361884368,0.4989293361884368,0.4989293361884368
9,1,0.4985010706638116,0.0008565310492505418,0.8110826492309571,0.040779498871538526,0.14798507690429688,0.01771698619914535,10,{'n_estimators': 10},0.4989293361884368,0.49678800856531047,0.4989293361884368,0.4989293361884368,0.4989293361884368
10,1,0.4985010706638116,0.0008565310492505418,0.8703547477722168,0.01800130684947001,0.15573511123657227,0.009080596475550018,11,{'n_estimators': 11},0.4989293361884368,0.49678800856531047,0.4989293361884368,0.4989293361884368,0.4989293361884368
12,1,0.4985010706638116,0.0008565310492505418,1.550748872756958,0.029340569261074975,0.21815137863159179,0.03262638899676218,20,{'n_estimators': 20},0.4989293361884368,0.49678800856531047,0.4989293361884368,0.4989293361884368,0.4989293361884368
13,1,0.4985010706638116,0.0008565310492505418,1.7839796543121338,0.07819131346680885,0.1656369686126709,0.0076630659504402735,30,{'n_estimators': 30},0.4989293361884368,0.49678800856531047,0.4989293361884368,0.4989293361884368,0.4989293361884368
3,12,0.4980728051391862,0.0010490320097572576,0.3279245376586914,0.007662578496615318,0.05624899864196777,0.012496998023247226,4,{'n_estimators': 4},0.49678800856531047,0.49678800856531047,0.4989293361884368,0.4989293361884368,0.4989293361884368
7,12,0.4980728051391862,0.0010490320097572576,0.652300500869751,0.0341488022978627,0.11773905754089356,0.008480283996868768,8,{'n_estimators': 8},0.49678800856531047,0.49678800856531047,0.4989293361884368,0.4989293361884368,0.4989293361884368
11,14,0.49764453961456107,0.001713062098501064,0.9599337577819824,0.018747488980985293,0.17188749313354493,0.009880911796630932,12,{'n_estimators': 12},0.4989293361884368,0.49678800856531047,0.49464668094218417,0.4989293361884368,0.4989293361884368
